x,y,xend,yend,color,linetype,size,label,labelcolor,y_label,size_label,arrow
2500,0,2861,0,gray,solid,3,ITS1,black,-5,4,FALSE
3012,0,3251,0,gray,solid,3,ITS2,black,-5,4,FALSE
2380,0,2390,0,black,solid,6,,black,0,0,FALSE
2360,0,2370,0,black,solid,6,,black,0,0,FALSE
2340,0,2350,0,black,solid,6,,black,0,0,FALSE
2320,0,2330,0,black,solid,6,,black,0,0,FALSE
2300,0,2310,0,black,solid,6,,black,0,0,FALSE
2400,0,2500,0,black,solid,6,SSU,black,-8,5,FALSE
2861,0,3012,0,black,solid,6,5.8S,black,-8,5,FALSE
3251,0,4300,0,black,solid,6,LSU,black,8,5,FALSE
4300,0,4310,0,black,solid,6,,white,0,0,FALSE
4320,0,4330,0,black,solid,6,,white,0,0,FALSE
4340,0,4350,0,black,solid,6,,white,0,0,FALSE
4360,0,4370,0,black,solid,6,,white,0,0,FALSE
4380,0,4390,0,black,solid,6,,white,0,0,FALSE
3252,0,3358,0,black,solid,6,LSU1,black,-7,4,FALSE
3358,0,3515,0,gray,solid,5.5,D1,black,0,4,FALSE
3515,0,3676,0,black,solid,6,LSU2,black,-7,4,FALSE
3676,0,3886,0,gray,solid,5.5,D2,black,0,4,FALSE
3886,0,3927,0,black,solid,6,LSU3,black,-7,4,FALSE
3927,0,4038,0,gray,solid,5.5,D3,black,0,4,FALSE
4038,0,4200,0,black,solid,6,LSU4,black,-7,4,FALSE
2471,0,2489,0,red,solid,6,ITS1,red,13,4,FALSE
2471,5,2471,10,red,solid,0.5,,red,0,0,FALSE
2471,7.5,2571,7.5,red,solid,0.5,,red,0,0,TRUE
2946,0,2964,0,red,solid,6,gITS7,red,13,4,FALSE
2946,5,2946,10,red,solid,0.5,,red,0,0,FALSE
2946,7.5,3046,7.5,red,solid,0.5,,red,0,0,TRUE
3292,0,3311,0,blue,solid,6,ITS4,blue,13,4,FALSE
3311,5,3311,10,blue,solid,0.5,,blue,0,0,FALSE
3311,7.5,3211,7.5,blue,solid,0.5,,blue,0,0,TRUE
4200,0,4216,0,blue,solid,6,LR5,blue,13,4,FALSE
4216,5,4216,10,blue,solid,0.5,,blue,0,0,FALSE
4216,7.5,4116,7.5,blue,solid,0.5,,blue,0,0,TRUE
2946,19.5,3311,19.5,darkgreen,dashed,0.5,short amplicon ≈ 300bp,darkgreen,24,4,FALSE
2946,17,2946,22,darkgreen,solid,0.5,,green,0,0,FALSE
3311,17,3311,22,darkgreen,solid,0.5,,green,0,0,FALSE
2471,-14.5,4216,-14.5,darkgreen,dashed,0.5,long amplicon ≈ 1550bp,darkgreen,-18,4,FALSE
2471,-12,2471,-17,darkgreen,solid,0.5,,green,0,0,FALSE
4216,-12,4216,-17,darkgreen,solid,0.5,,green,0,0,FALSE
